Parent ID number,ID number,Short name,Description,Description format,Scale values,Scale configuration,Rule type (optional),Rule outcome (optional),Rule config (optional),Cross-referenced competency ID numbers,Exported ID (optional),Is framework,Taxonomy
,3377,"Human Resources Management","Main framework for computer networks and cybersecurity competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,1,competency
,اا-K,Knowledge,"Knowledge-related competencies",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K,اا-K-TU,"Theoretical Understanding","Understanding of theories, concepts, and principles",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K1,K1,"تعريف على المفاهيم إدارة الموارد البشرية الحديثة, المسؤولية الاجتماعية والقيم التنظيمية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K2,K2,"التعلم على صياغة الأبحاث وطرق كتابة التقاريرالرسمية ومصادر جمع المعلومات .",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K,اا-K-PA,"Practical Application",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K3,K3,"التعلم على فن الاتصال والتعامل مع الاخرين من خلال صقل سولوكياتهم واتجاهاتم",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K4,K4,"التعلم على تحليل وتشخيص المشكلات وحلها والتعرف على الجوانب الإيجابية والسلبية في المنظمات",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K5,K5,"القدرة على التكيف مع المتغيرات والتحديات المختلفة في سوق العمل، ومعرفة كيفية التخطيط للموارد البشرية، ومعرفة العوامل المؤثرة في ذلك.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-K-TU,اا-K-TU-K6,k6,"المساهمة في تعزيز المؤوسسات المهنية في المنظمات من خلال التفاعل مع منظمات المجتمع المحلي في مختلف المجالات الإدارية",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,اا-S,Skills,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-S,اا-S-GPS,"Generic Problem Solving","Generic problem solving and analytical skills",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-S-GPS,اا-S-GPS-S1,S1,"حل المشكلات وتبادل الآراء البناءة عن طريق العصف الذهني",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-S-GPS,اا-S-GPS-S2,S2,"القدرة على كتابة التقارير الرسمية والتفكير و التحليل المنطقي والقدرة على عمل بروح الفريق",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-S-GPS,اا-S-GPS-S3,S3,"القدرة على استخدام تكنولوجيا المعلومات مثل استخدام الحاسوب ونظم معلومات والبرمجيات",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-S,اا-S-CS,"Communication Skills",,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
,اا-C,Competence,,1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-C,اا-C-ARC,"Autonomy & Responsibility","Autonomy, responsibility, and context",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-C-ARC,اا-C-ARC-C1,C1,"تطوير ممارسات إدارة الموارد البشرية بحيث تتمكن المؤسسة من تكوين جيل من المُبتكرين.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-C-ARC,اا-C-ARC-C2,C2,"العمل على تقييم السلوك والعمل في سياق مُحدد من خلال اكتساب المعارف والمهارات اللازمة لتوظيفها في المؤسسة.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
اا-C-ARC,اا-C-ARC-C3,C3,"القدرة على تحمل المسؤولية والعمل الجماعي.",1,"Not yet competent,Competent","[{""""scaleid"""":""""2""""},{""""id"""":2,""""scaledefault"""":1,""""proficient"""":1}]",,,,,,,competency
